product_code,product_name,2026-07-20,2026-07-19,2026-07-18,2026-07-17,2026-07-16,2026-07-15,2026-07-14,2026-07-13,2026-07-12,2026-07-11,2026-07-10,2026-07-09,2026-07-08,2026-07-07,2026-07-06,2026-07-05,2026-07-04,2026-07-03,2026-07-02,2026-07-01,2026-06-30,2026-06-29,2026-06-28,2026-06-27,2026-06-26,2026-06-25,2026-06-24,2026-06-23,2026-06-22,2026-06-21,2026-06-20,2026-06-19,2026-06-18,2026-06-17,2026-06-16,2026-06-15,2026-06-14,2026-06-13,2026-06-12,2026-06-11,2026-06-10,2026-06-09,2026-06-08,2026-06-07,2026-06-06,2026-06-05,2026-06-04,2026-06-03,2026-06-02,2026-06-01,2026-05-31,2026-05-30,2026-05-29,2026-05-28,2026-05-27,2026-05-26,2026-05-25,2026-05-24,2026-05-23,2026-05-22
13019144,10포트 RGB 허브,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,,,,,,,,,,
103752341,1stPlayer FM7 120 ARGB PWM (블랙),8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,8440,5710,5710,,,,,,,,,,
103752353,1stPlayer FM7 120 ARGB PWM (화이트),8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,5710,5710,,,,,,,,,,
103752401,1stPlayer FM7 120 ARGB PWM 리버스 (블랙),8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8000,8000,8000,5710,5710,,,,,,,,,,
103752413,1stPlayer FM7 120 ARGB PWM 리버스 (화이트),8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8000,8000,8000,5710,5710,,,,,,,,,,
100383728,1stPlayer TS4 360 ARGB (블랙),82560,82560,82560,82560,82560,82560,82560,89000,89000,89000,89000,81450,81450,81450,81450,81450,81450,81450,81450,81450,81450,81450,81450,81450,81450,81450,81450,81450,81450,81450,81450,81450,81450,81450,81450,81450,81450,81450,81450,81450,81450,81450,79904,81450,81450,81890,82330,82780,82780,82890,,,,,,,,,,
100383770,1stPlayer TS4 360 ARGB (화이트),82560,82560,82560,82560,82560,82560,82560,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,81570,81570,81570,81570,81570,81570,81570,79904,81570,81570,82010,82340,82890,82890,82890,,,,,,,,,,
90159431,"1stPlayer WING 120 (3팩, 블랙)",24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,,,,,,,,,,
90159521,"1stPlayer WING 120 (3팩, 화이트)",26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,,,,,,,,,,
28122920,1stPlayer WING 120 (블랙),6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,4290,4290,4290,4290,4290,4290,4290,4290,,,,,,,,,,
28122995,1stPlayer WING 120 (화이트),6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,5390,5390,5390,5390,5390,5390,5390,5390,,,,,,,,,,
90159539,"1stPlayer WING-R 120 (3팩, 블랙)",24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,24500,,,,,,,,,,
28123250,1stPlayer WING-R 120 (블랙),6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,6490,,,,,,,,,,
67976123,3RSYS AM5 세이프티 브라켓 (블랙),5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,,,,,,,,,,
12806516,3RSYS AMD 세이프티 브라켓,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5130,5130,5130,,,,,,,,,,
11845318,3RSYS APB BAR (410mm),8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,8990,,,,,,,,,,
64376207,3RSYS CH10 ARGB AND PWM HUB,11590,11600,11600,11600,11600,11600,11600,11600,11600,11600,11640,11640,11640,11640,11640,11650,11650,11650,11670,11680,11680,11680,11680,11680,11690,11690,11690,11690,11690,11690,11690,11690,11700,11700,11700,11700,11700,11700,11700,11700,11710,11710,11710,11710,11710,11720,11750,11750,11750,11750,,,,,,,,,,
13067489,3RSYS ICEAGE G5 이정표 그래픽카드 지지대 (골드),7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,,,,,,,,,,
13067480,3RSYS ICEAGE G5 이정표 그래픽카드 지지대 (실버),8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,,,,,,,,,,
28236212,3RSYS ICEAGE G7 그래픽카드 & CPU쿨러 지지대 (블랙),19470,19470,19470,19470,19470,19470,19480,19480,19480,19480,19480,19480,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,,,,,,,,,,
28236215,3RSYS ICEAGE G7 그래픽카드 & CPU쿨러 지지대 (실버),19470,19470,19470,19470,19470,19470,19480,19480,19480,19480,19480,19480,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,19520,,,,,,,,,,
28886321,3RSYS ICEAGE G7-Parts (실버),4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,,,,,,,,,,
3662491,3RSYS ICEAIR A-2 PLUS (화이트),6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,6290,,,,,,,,,,
